GmHCl (M),Fraction Unfolded
0.357268,-0.000150426
0.713807,0.00729408
1.06269,-0.00297972
1.41162,-0.00312695
1.77574,0.00431436
1.95777,-0.000825745
2.29913,0.00409352
2.48117,0.00148506
2.6557,0.019133
2.75438,0.0393445
2.9213,0.0494007
3.01245,0.0822737
3.10362,0.122742
3.18711,0.135365
3.28581,0.158108
3.36959,0.249212
3.46835,0.289677
3.55195,0.332679
3.62798,0.378217
3.71932,0.461723
3.81065,0.542697
3.90957,0.623668
3.99326,0.689456
4.1832,0.77292
4.08738,0.841315
4.35569,0.917151
4.52255,0.913705
4.69966,0.94401
4.88681,0.957434
5.06396,0.997865
5.23588,0.994417
5.59994,0.985825
5.41294,1.0146
