GmHCl (M),Fraction Unfolded
0.09953,-0.00635429
0.180389,-0.0129614
0.367205,-0.00613096
0.528807,-0.00432749
0.720623,0.0091817
1.07932,-0.00553683
4.61621,0.950627
1.78632,0.00339626
1.96312,0.000206472
2.31657,0.0105132
2.48824,0.017331
2.67513,0.0141497
2.83672,0.0176218
3.02335,0.0494817
3.20497,0.0746629
3.38641,0.124874
3.46681,0.178337
3.55757,0.196768
3.63807,0.236883
3.72837,0.317053
3.81873,0.38888
3.90926,0.439015
3.99457,0.510838
4.08511,0.559304
4.18049,0.634472
4.27066,0.731329
4.36149,0.741417
4.52247,0.824983
4.61316,0.853426
4.89031,0.935421
5.06681,0.970609
5.23326,0.999115
5.42034,0.970904
5.60208,0.981068
5.60193,1.00109
