GuHCL,CTPR3-A Normalised 1SB
0,
0.10653,0.060272871
0.21307,0.054679152
0.3196,0.064765877
0.42613,0.035931582
0.53267,0.021239645
0.6392,0.036027213
0.74573,0.016485447
0.85227,0.024849265
0.9588,0.014508957
1.0653,
1.1719,-3.72796E-05
1.2784,-0.001060843
1.3849,0.002118445
1.4915,0.004248976
1.598,0.010189424
1.7045,-0.004624514
1.8111,-0.003250711
1.9176,0.014716675
2.0241,0.016572632
2.1307,
2.2372,0.035670441
2.3437,0.052132724
2.4503,0.073194381
2.5568,0.098889683
2.6633,0.166259928
2.7699,0.244087275
2.8764,0.343496278
2.9829,0.51758151
3.0895,0.621654689
3.196,0.779484145
3.3025,0.831460442
3.4091,0.894036894
3.5156,0.930715642
3.6221,0.961569195
3.7287,0.981093624
3.8352,0.987227045
3.9417,0.984802676
4.0483,0.9962806
4.1548,0.991037233
4.2613,1.000464166
4.3679,0.999742223
4.4744,0.995359905
4.5809,1.004046596
4.6875,0.996058826
4.794,0.999654009
4.9005,1.005071508
5.0071,1.004778423
5.1136,1.0036144
5.2201,0.991860698
5.3267,0.993978279
5.4332,1.003755628
5.5397,0.997810224
5.6463,1.005992007
5.7528,1.00809295
5.8593,0.999659002
5.9659,0.99902872
6.0724,0.998199604
6.1789,0.998082088
6.2855,0.99747794
