GuHCL,CTPR3-S Normalised 1SB
0,
0.10427,0.006451374
0.20853,0.040928693
0.3128,0.041752938
0.41707,0.006213962
0.52133,0.040094097
0.6256,0.028966119
0.72987,0.009165072
0.83413,0.023562561
0.9384,0.014320245
1.0427,0.010912809
1.1469,0.011116411
1.2512,0.023140455
1.3555,-0.014026753
1.4597,0.017783433
1.564,0.000785744
1.6683,0.016140805
1.7725,0.014092783
1.8768,0.005802147
1.9811,0.001635823
2.0853,0.009093356
2.1896,0.042136226
2.2939,0.028215057
2.3981,0.025954814
2.5024,0.057390884
2.6067,0.069097474
2.7109,0.119378125
2.8152,0.169183699
2.9195,0.224222125
3.0237,0.306698574
3.128,0.434106284
3.2323,0.605794711
3.3365,0.68479413
3.4408,0.755771133
3.5451,0.863897977
3.6493,0.910654145
3.7536,0.935969603
3.8579,0.953713255
3.9621,0.974041184
4.0664,0.992550213
4.1707,0.978911562
4.2749,0.996278579
4.3792,0.988351024
4.4835,0.99665589
4.5877,1.00529295
4.692,0.998107349
4.7963,1.004556323
4.9005,1.014573379
5.0048,0.994010015
5.1091,0.984326353
5.2133,1.002076426
5.3176,1.013494004
5.4219,1.00637691
5.5261,0.998626358
5.6304,0.999440737
5.7347,0.99699
5.8389,1.012838071
5.9432,1.000536317
6.0475,0.981854691
