[GuHCl],CTPR3-S Normalised 1SB
0,
0.1068,0.02552528
0.2136,
0.3204,0.014894393
0.4272,-0.001638085
0.534,-0.049740642
0.6408,-0.049885057
0.7476,-0.049249364
0.8544,-0.079494026
0.9612,0.002260374
1.068,0.008972053
1.1748,-0.026158666
1.2816,-0.071375167
1.3884,-0.01248036
1.4952,-0.026689008
1.602,0.015842386
1.7088,0.003965664
1.8156,-0.002565037
1.9224,0.004221575
2.0292,0.005127171
2.136,-0.001773316
2.2428,0.013906377
2.3496,0.031393269
2.4564,0.055126733
2.5632,0.055775408
2.67,0.083536761
2.7768,0.13767138
2.8836,0.144824788
2.9904,0.292259567
3.0972,0.396853682
3.204,0.579258533
3.3108,0.657248809
3.4176,0.77277847
3.5244,0.832614054
3.6312,0.904879131
3.738,0.927308256
3.8448,0.958526598
3.9516,0.968844195
4.0584,0.982286559
4.1652,0.992881612
4.272,0.992692366
4.3788,0.999466102
4.4856,1.006967976
4.5924,1.004644204
4.6992,0.99956365
4.806,1.009867335
4.9128,1.000295179
5.0196,1.000581333
5.1264,0.99374854
5.2332,1.00941679
5.34,0.995844649
5.4468,1.012852085
5.5536,0.994946026
5.6604,1.004757116
5.7672,1.003987881
5.874,1.000862539
5.9808,0.990106256
6.0876,1.005272042
6.1944,0.992650671
6.3012,0.991668156
