[Urea],Fraction Unfolded FKBP12
0,-0.00207
0.267,0.00307
0.533,-0.00688
0.8,0.00605
1.07,0.00232
1.33,-0.000484
1.6,0.00607
1.87,0.00915
2.13,0.0147
2.4,0.0357
2.67,0.0514
2.79,
2.8,0.0644
2.91,
2.93,0.0917
3.04,
3.07,0.127
3.17,
3.2,0.161
3.29,
3.33,0.207
3.42,
3.47,0.303
3.55,
3.6,0.333
3.67,
3.73,0.414
3.8,
3.87,0.498
3.93,
4,0.581
4.05,
4.13,0.66
4.18,
4.27,0.722
4.31,
4.4,0.79
4.43,
4.53,0.832
4.56,
4.67,0.873
4.69,
4.75,
4.8,0.902
4.81,
4.93,0.932
4.94,
5.07,0.939
5.19,
5.2,0.964
5.32,
5.33,0.939
5.47,1.01
5.6,0.98
5.73,1.01
5.87,0.996
6,1.01
6.13,0.989
6.27,0.987
6.53,1.01
6.8,0.979
7.07,1.01
