[Urea] (M),C.D. @ 222 nm
0.00,-37.271861
0.27,-37.295637
0.53,-37.560054
0.80,-37.421334
1.07,-37.427052
1.33,-37.892398
1.60,-38.149746
1.87,-38.590176
2.13,-38.592169
2.40,-38.850084
2.67,-38.638478
2.93,-38.743597
3.02,-38.575516
3.11,-38.464676
3.20,-38.366409
3.29,-38.132161
3.38,-38.064855
3.47,-37.524193
3.56,-36.82956
3.64,-36.435684
3.73,-35.752935
3.82,-33.801574
3.91,-31.821756
4.00,-29.114476
4.09,-22.594842
4.18,-22.594842
4.27,-19.391693
4.36,-16.396254
4.44,-14.146039
4.53,-11.28293
4.62,-10.105557
4.71,-10.105557
4.80,-9.313523
4.89,-9.059766
4.98,-8.339508
5.07,-8.339508
5.16,-8.653531
5.24,-8.216778
5.51,-7.864967
5.78,-7.517272
6.04,-7.445368
6.31,-7.345791
6.58,-7.337808
6.84,-6.978921
7.11,-6.957275
7.38,-6.802591
7.64,-6.57097
7.91,-6.364068
