Urea,50uM raw data-Baseline trLcrH
0,-133.82766
0.2428,-129.55766
0.4855,-124.10766
0.7283,-127.81766
0.971,-116.76766
1.2138,-108.25766
1.4565,-99.40766
1.6993,-100.93166
1.942,-98.97466
2.1848,-91.19266
2.4275,-85.88466
2.6703,-84.04166
2.913,-74.85166
3.1558,-73.27866
3.3985,-73.25966
3.6413,-67.11166
3.884,-62.55366
4.1268,-57.64066
4.2481,-53.20266
4.3695,-48.14766
4.4909,-44.60566
4.6123,-40.66066
4.7336,-39.68066
4.855,-32.12766
4.9764,-28.85466
5.0978,-27.01966
5.2191,-23.77666
5.3405,-19.20166
5.4619,-17.15366
5.5833,-14.57866
5.7046,-12.83166
5.826,-11.02376
5.9474,-10.20406
6.0688,-10.13906
6.1901,-8.94286
6.3115,-9.17946
6.4329,-8.82206
6.5543,-8.31046
6.797,-7.92446
7.0398,-6.80786
7.2825,-6.69346
7.5253,-6.09696
