GdmHCl,Rel. Fluorescence
4.88824,68.2088
4.58235,68.2088
4.41765,67.7844
4.15882,66.511
3.94118,65.6621
3.86471,66.0866
3.71176,66.511
3.5,67.7844
3.35882,69.0577
3.21176,72.4533
3.08824,80.5178
2.94118,91.5535
2.87647,105.56
2.73922,123.529
2.6451,140.224
2.53922,156.919
2.44902,172.482
2.33922,182.102
2.23725,192.289
2.15098,197.666
2.03725,205.589
1.92745,215.209
1.81765,227.943
1.73922,242.091
1.62157,259.352
1.50784,274.632
1.41765,288.78
1.33137,300.948
1.20196,311.984
1.11569,314.53
1.03725,321.604
0.919608,322.453
0.809804,323.302
0.723529,323.302
0.609804,323.019
0.531373,325.283
0.421569,325
0.303922,324.151
0.198039,324.434
0.0921569,323.019
0.00196078,323.302
